father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
Blame,0.19811320754716982,0.13810607125582672,0.2682926829268293,0.17142857142857143
Bletchingly,0.17857142857142858,0.07593620431582014,0.17647058823529413,0.2222222222222222
Blu Tusmani,0.18181818181818182,0.03677143788746509,0.2222222222222222,0.2222222222222222
Blue Point,0.25,0.05337550047023718,0.25,0.25
Bluebird,0.18072289156626506,0.116274510451537,0.12195121951219512,0.20930232558139536
Bluegrass Cat,0.27485380116959063,0.22037947095394714,0.16279069767441862,0.3111111111111111
Bluegrass Spirit,0.2,0.041023167506996534,0.2222222222222222,0.25
Blushing John,0.3472222222222222,0.2579749777922499,0.4,0.15789473684210525
Bob Back,0.2524271844660194,0.18516492355189434,0.2,0.35
Bobby's Kitten,0.3953488372093023,0.27679547498028134,0.3333333333333333,0.39473684210526316
Bodemeister,0.25,0.1285223634849194,0.4,0.2
Bold Badgett,0.25,0.05337550047023718,0.25,0.25
Bold Executive,0.2,0.041023167506996534,0.2,0.2
Bold Ruckus,0.3,0.1990993761719042,0.32432432432432434,0.25
Bolt d'Oro,0.2777777777777778,0.12377091476954695,0.3125,0.2222222222222222
Boone's Mill,0.46153846153846156,0.24529980127412515,0.45454545454545453,0.3333333333333333
Boston Harbor,0.29430379746835444,0.2529462588474284,0.2751322751322751,0.328125
Boundary,0.3037974683544304,0.26201939264752816,0.3013698630136986,0.3067484662576687
Brahms,0.21875,0.11108877125926007,0.25,0.2
Brazen Beau,0.14285714285714285,0.02805337732017585,0.25,0.15384615384615385
Brian's Time,0.32558139534883723,0.21405816638826594,0.2727272727272727,0.3333333333333333
Briartic,0.18181818181818182,0.03677143788746509,0.2222222222222222,0.2222222222222222
Brief Truce,0.2,0.11864737865209447,0.17647058823529413,0.25
Broad Brush,0.35968379446640314,0.3107796679404767,0.3333333333333333,0.3772455089820359
Brocco,0.18181818181818182,0.11889429308164542,0.27906976744186046,0.11538461538461539
Broken Vow,0.22580645161290322,0.1583438981623653,0.2682926829268293,0.2033898305084746
Brustolon,0.19047619047619047,0.0713538843086182,0.13333333333333333,0.25
Buckaroo,0.35714285714285715,0.21661693073608,0.42105263157894735,0.25
Buckfinder,0.4444444444444444,0.19290294999413107,0.375,0.375
Buddha,0.1111111111111111,0.03219890462003194,0.14285714285714285,0.15
Bullet Train,0.13333333333333333,0.025999332600867814,0.18181818181818182,0.18181818181818182
Cacoethes,0.4782608695652174,0.31126359295264855,0.375,0.5
Cadeaux Genereux,0.20481927710843373,0.15553577699744886,0.23728813559322035,0.14634146341463414
Caerleon,0.2898071625344353,0.2724281127521225,0.30808080808080807,0.23929471032745592
Cahill Road,0.28125,0.16061109125637793,0.3157894736842105,0.25
Cairo Prince,0.34146341463414637,0.22553245189072227,0.15384615384615385,0.4
Cajun Breeze,0.3333333333333333,0.1111127066076292,0.3333333333333333,0.3333333333333333
California Chrome,0.2608695652173913,0.16166218084282857,0.125,0.3333333333333333
Camacho,0.15384615384615385,0.030460165659137187,0.25,0.16666666666666666
Came Home,0.3157894736842105,0.2191187198498313,0.27586206896551724,0.34285714285714286
Camelot,0.18421052631578946,0.0923204476920001,0.2,0.2
Canadian Frontier,0.35714285714285715,0.24080895974915686,0.2903225806451613,0.4666666666666667
Candy Ride,0.20833333333333334,0.13497506119662192,0.08695652173913043,0.26785714285714285
Candy Stripes,0.5666666666666667,0.46093243124383615,0.5769230769230769,0.4
Canford Cliffs,0.11764705882352941,0.042481299792738715,0.12,0.1875
Canny Lad,0.3181818181818182,0.1681758233914966,0.3333333333333333,0.2727272727272727
Cape Blanco,0.18181818181818182,0.10405927140539496,0.11764705882352941,0.2222222222222222
Cape Canaveral,0.15384615384615385,0.030460165659137187,0.2222222222222222,0.18181818181818182
Cape Cross,0.1292517006802721,0.08692311493021784,0.14444444444444443,0.12903225806451613
Cape Town,0.2653061224489796,0.1682506595226767,0.16666666666666666,0.29545454545454547
Capote,0.24486301369863014,0.2161217871363036,0.21951219512195122,0.2646048109965636
Captain Bodgit,0.25,0.05337550047023718,0.25,0.25
Captain Rio,0.09090909090909091,0.01719099663247961,0.15384615384615385,0.14285714285714285
Caravaggio,0.37142857142857144,0.24310453673792634,0.40625,0.2
Carpe Diem,0.34375,0.2662736956065472,0.14814814814814814,0.41333333333333333
Carr de Naskra,0.2459016393442623,0.18446300885162312,0.23076923076923078,0.27450980392156865
Carson City,0.29770992366412213,0.26040712291003365,0.27388535031847133,0.3333333333333333
Casamento,0.25,0.07882004566602895,0.3333333333333333,0.2
Castle Gandolfo,0.275,0.1669359451315326,0.3235294117647059,0.15384615384615385
Cat Thief,0.20320855614973263,0.15679411081593,0.11904761904761904,0.20155038759689922
Catalina Cruiser,0.3333333333333333,0.1111127066076292,0.25,0.375
Catbird,0.21428571428571427,0.06604956721630965,0.21428571428571427,0.21428571428571427
Catholic Boy,0.15384615384615385,0.030460165659137187,0.18181818181818182,0.2222222222222222
Catrail,0.2545454545454545,0.16406365022581834,0.23529411764705882,0.2857142857142857
Caveat,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Cee's Tizzy,0.3,0.09774681343927576,0.25,0.3333333333333333
Celtic Swing,0.4444444444444444,0.19290294999413107,0.4444444444444444,0.4444444444444444
Central Banker,0.325,0.20973197547756275,0.2222222222222222,0.34210526315789475
Century City,0.14285714285714285,0.02805337732017585,0.2,0.18181818181818182
Champs Elysees,0.14285714285714285,0.04216940788577861,0.16666666666666666,0.2
Chapel Royal,0.39473684210526316,0.2690551870775714,0.25,0.42424242424242425
Charge Forward,0.16,0.05900834386487541,0.17647058823529413,0.2
Charging Falls,0.25,0.09665833399195689,0.25,0.26666666666666666
Charismatic,0.21686746987951808,0.166405883445454,0.20588235294117646,0.22522522522522523
Charnwood Forest,0.37209302325581395,0.2555741216689382,0.4,0.2
Chequer,0.1875,0.10370178631317498,0.14285714285714285,0.21951219512195122
Cherokee Run,0.2747747747747748,0.22677192791939682,0.1346153846153846,0.3236994219653179
Chester House,0.25,0.09665833399195689,0.25,0.26666666666666666
Chief Seattle,0.3076923076923077,0.17030365397347064,0.2,0.34782608695652173
Chief's Crown,0.25098039215686274,0.20753452926674532,0.26666666666666666,0.23636363636363636
Chimes Band,0.1794871794871795,0.08979307579387828,0.2631578947368421,0.14814814814814814
Choisir,0.27419354838709675,0.18600165572044278,0.1875,0.3137254901960784
